front,back
【失す】うす - 例文「翁を、いとほし、かなしと思しつることも失せぬ。」の口語訳を答えなさい。,訳語：消える。無くなる。 例文の訳：（かぐや姫は、天の羽衣を着ると）翁を、気の毒だ、かわいそうだとお思いになっていたことも（心から）消えてしまった。
【失す】うす - 例文「その人、ほどなく失せにけりと聞き侍りし。」の口語訳を答えなさい。,訳語：亡くなる。死ぬ。 例文の訳：その人は、間もなく亡くなったと聞きました。
【行ふ】おこなふ - 例文「持仏据ゑたてまつりて行ふ尼なりけり。」の口語訳を答えなさい。,訳語：仏道の修行をする。勤行する。 例文の訳：持仏を安置申し上げて仏道の修行をする尼であった。
【おもしろし】 - 例文「その沢にかきつばたいとおもしろく咲きたり。」の口語訳を答えなさい。,訳語：（景色などが）すばらしい。趣がある。 例文の訳：その沢にかきつばたがたいそうすばらしく咲いている。
【あらまほし】 - 例文「墨染めの御姿あらまほしう清らなるも、うらやましく見たてまつり給ふ。」の口語訳を答えなさい。,訳語：理想的だ。好ましい。 例文の訳：黒い僧衣のお姿が理想的に上品で美しいのも、うらやましく見申し上げなさる。
【やむごとなし】 - 例文「この山に籠りゐて後、やむごとなき人のかくれ給へるもあまた聞こゆ。」の口語訳を答えなさい。,訳語：高貴だ。尊い。大切だ。 例文の訳：（私が）この山に（庵を作って）こもってからあと、高貴な方々がお亡くなりになったことも数多く耳に入る。
【やむごとなし】 - 例文「身の才やむごとなくして、公につかまつりけるほどに、道心をおこして出家せるなり。」の口語訳を答えなさい。,訳語：この上ない。並々でない。 例文の訳：学才がこの上なくて、朝廷にお仕えしていたときに、信仰心を起こして出家したのである。
【ゆゆし】 - 例文「ゆゆしき身に侍れば、（若宮ガ）かくておはしますも、いまいましう、かたじけなくなむ。」の口語訳を答えなさい。,訳語：不吉だ。不吉なほど美しい。恐ろしい。 例文の訳：（私は娘に先立たれた）不吉な身ですので、若宮がこうして（私と一緒に）いらっしゃるのも、縁起でもなく、おそれ多いことです。
【ゆゆし】 - 例文「かたちなむまことにいとうつくしう、ゆゆしきまでものし給ひける。」の口語訳を答えなさい。,訳語：すばらしい。立派だ。（本文では「不吉なほど美しい」の意） 例文の訳：容貌は実にたいそうかわいらしく、不吉なほど美しくていらっしゃった。
【畏し・恐し】かしこし - 例文「帝の御位は、いともかしこし。」の口語訳を答えなさい。,訳語：おそれ多い。もったいない。 例文の訳：帝の御位は、とてもおそれ多い。
【賢し】かしこし - 例文「寺をこそ、いとかしこく造りたなれ。」の口語訳を答えなさい。,訳語：すばらしい。立派だ。好都合だ。 例文の訳：寺を、実にすばらしく造ったそうだ。
【うるはし】 - 例文「その日の、髪上げうるはしき姿、唐絵ををかしげに描きたるやうなり。」の口語訳を答えなさい。,訳語：端正だ。きちんとしている。立派だ。 例文の訳：その日の（内侍の）髪を結いあげた端正な姿は、まるで中国風の絵を美しく描いたようだ。
【うるはし】 - 例文「昔、男、いとうるはしき友ありけり。」の口語訳を答えなさい。,訳語：親しい。 例文の訳：昔、男が、たいそう親しい友人を持っていた。
【はかなし】 - 例文「鳥辺山谷に煙の燃え立たばはかなく見えし我と知らなむ」の口語訳を答えなさい。,訳語：頼りない。あっけない。むなしい。 例文の訳：鳥辺山の谷間に煙が燃え立ったならば、頼りなく見えた私（を火葬する煙）だと知ってほしい。
【はかなし】 - 例文「梨の花、世にすさまじきものにして、近うもてなさず、はかなき文付けなどだにせず。」の口語訳を答えなさい。,訳語：ちょっとした。とるに足りない。 例文の訳：梨の花は、実に興ざめなものとして、身近にもてはやさず、ちょっとした手紙を結びつけたりさえしない。
【はかばかし】 - 例文「取りたてて、はかばかしき後見しなければ、事ある時は、なほ拠りどころなく心細げなり。」の口語訳を答えなさい。,訳語：しっかりしている。頼もしい。 例文の訳：格別に、しっかりした後ろ盾がないので、何かあらたまった事があるときは、やはり頼るあてもなく心細そうだ。
【やさし】 - 例文「いみじうやさしかりける人の妻に成りにけり。」の口語訳を答えなさい。,訳語：優雅だ。上品だ。風流だ。 例文の訳：たいそう優雅だった人の妻になった。
【やさし】 - 例文「やさしう申したるものかな。」の口語訳を答えなさい。,訳語：けなげだ。殊勝だ。感心だ。 例文の訳：けなげに申したことよ。
【いはけなし】 - 例文「いといはけなき御ありさまなれば、乳母たち近くさぶらひけり。」の口語訳を答えなさい。,訳語：幼い。あどけない。 例文の訳：（女三の宮は）ひどく幼いご様子なので、乳母たちがおそば近くに控えていた。
【かたはらいたし】 - 例文「すべて、いとも知らぬ道の物語したる、かたはらいたく聞きにくし。」の口語訳を答えなさい。,訳語：見苦しい。苦々しい。 例文の訳：何事でも、たいして知らない方面の話をしているのは、（はたで聞いていて）見苦しく聞き苦しいものだ。
【かたはらいたし】 - 例文「簀子はかたはらいたければ、南の廂に入れたてまつる。」の口語訳を答えなさい。,訳語：気の毒だ。心苦しい。 例文の訳：縁側は気の毒なので、（姫君は源氏を）南の廂の間にお入れする。
【心もとなし】こころもとなし - 例文「心地の悪しく、ものの恐ろしきをり、夜の明くるほど、いと心もとなし。」の口語訳を答えなさい。,訳語：待ち遠しい。じれったい。 例文の訳：気分が悪く、何となく恐ろしい感じがするとき、夜が明ける時が、ひどく待ち遠しい。
【心もとなし】こころもとなし - 例文「心もとなき日数重なるままに、白河の関にかかりて、旅心定まりぬ。」の口語訳を答えなさい。,訳語：不安だ。心配だ。 例文の訳：不安な日数が重なるうちに、白河の関にさしかかって、（やっと）旅に徹する心が定まった。
【いとほし】 - 例文「熊谷、あまりにいとほしくて、いづくに刀を立つべしともおぼえず。」の口語訳を答えなさい。,訳語：かわいそうだ。気の毒だ。 例文の訳：熊谷は、あまりにかわいそうで、どこに刀を突き立てたらよいかもわからない。
【いとほし】 - 例文「これは故殿のいとほしくし給ひし者なり。」の口語訳を答えなさい。,訳語：かわいい。いとしい。 例文の訳：これは亡くなった殿がかわいく思いなさった者である。
【あさまし】 - 例文「かかる人も世に出でおはするものなりけりと、あさましきまで目を驚かし給ふ。」の口語訳を答えなさい。,訳語：驚きあきれるほどだ。 例文の訳：このような人もこの世に生まれておいでになるものだったのだなと、驚きあきれるほどまでに目をみはりなさる。
【あさまし】 - 例文「まこと蓬萊の木かとこそ思ひつれ。かくあさましき虚言にてありければ、はや返し給へ。」の口語訳を答えなさい。,訳語：あきれるほどひどい。 例文の訳：本当に蓬萊の木かと思った。このようにあきれるほどひどい噓であったのだから、早くお返しください。
【いたし】 - 例文「夕暮れのいたう霞みたるにまぎれて、かの小柴垣のもとに立ち出で給ふ。」の口語訳を答えなさい。,訳語：〔連用形「いたく」「いたう」の形で〕とても。たいそう。 例文の訳：夕暮れのとてもかすんでいるのに紛れて、例の小柴垣のそばへお出かけになる。
【いたし】 - 例文「我がため面目あるやうに言はれぬる虚言は、人いたくあらがはず。」の口語訳を答えなさい。,訳語：〔打消を伴って〕たいして（～ない）。それほど（～ない）。 例文の訳：自分にとって名誉になるように（他人から）言われた噓は、人はたいして言い争って否定しないものだ。
【つれなし】 - 例文「やすからず思されけれど、なほつれなく同じさまにて過ぐし給ふ。」の口語訳を答えなさい。,訳語：平然としている。そ知らぬふりをしている。 例文の訳：穏やかでなくお思いになったけれど、やはり平然として（常と）同じ様子でお過ごしになる。
【つれなし】 - 例文「昔、男、つれなかりける女にいひやりける。」の口語訳を答えなさい。,訳語：冷淡だ。薄情だ。 例文の訳：昔、ある男が、（自分に）冷淡だった女に詠んで贈った（歌）。
【あいなし】 - 例文「まだきに騒ぎて、あいなきもの恨みし給ふな。」の口語訳を答えなさい。,訳語：筋違いだ。具合が悪い。 例文の訳：まだその時にならないうちに騒ぎ立てて、筋違いな恨みごとをなさいますな。
【あいなし】 - 例文「あまりに興あらんとすることは、必ずあいなきものなり。」の口語訳を答えなさい。,訳語：つまらない。おもしろくない。 例文の訳：あまりにおもしろくしようとすることは、必ずつまらないものである。
【あぢきなし】 - 例文「あぢきなきことに心を占めて、生ける限りこれを思ひ悩むべきなめり。」の口語訳を答えなさい。,訳語：どうにもならない。無益だ。 例文の訳：どうにもならないことに心を奪われて、生きている間はこれを悩まなければならないようだ。
【さがなし】 - 例文「さるさがなきえびす心を見ては、いかがはせむは。」の口語訳を答えなさい。,訳語：性質がよくない。意地が悪い。 例文の訳：そんな性質がよくない野蛮な心を見たって、どうしようか（いや、どうしようもない）。
【さがなし】 - 例文「さがなき童べどものつかまつりける、奇怪にさうらふことなり。」の口語訳を答えなさい。,訳語：いたずらだ。 例文の訳：いたずらな子どもらがいたした、けしからぬことでございます。
【すさまじ】 - 例文「遅桜、またすさまじ。」の口語訳を答えなさい。,訳語：興ざめだ。 例文の訳：遅咲きの桜は、これまた興ざめだ。
【言ふ甲斐無し】いふかひなし - 例文「聞きしよりもまして、言ふかひなくぞこぼれ破れたる。」の口語訳を答えなさい。,訳語：どうしようもない。言ってもしかたがない。 例文の訳：（家は）聞いていた以上に、どうしようもなく壊れ損じている。
【言ふ甲斐無し】いふかひなし - 例文「『飽かず口惜し』と、言ふかひなき法師、童べも、涙を落としあへり。」の口語訳を答えなさい。,訳語：取るに足りない。たわいない。 例文の訳：「心残りで残念だ」と、取るに足りない（＝身分の低い）法師や、子どもの召使いも、涙を流し合っている。
【よしなし】 - 例文「あらぬよしなき者の名のりして来たるも、返す返すもすさまじといふはおろかなり。」の口語訳を答えなさい。,訳語：関係がない。いわれがない。理由がない。 例文の訳：（来るのを待っていた恋人とは）別の関係がない人が名のってやって来たのも、本当に興ざめだという言葉では言い尽くせない。
【よしなし】 - 例文「男、血の涙を流せども、とどむるよしなし。」の口語訳を答えなさい。,訳語：方法がない。しかたがない。 例文の訳：男は、血の涙を流すけれど、（女を）引き留める方法がない。
【便無し】びんなし - 例文「今日はいと便なくなむ侍るべき。」の口語訳を答えなさい。,訳語：都合が悪い。不都合だ。 例文の訳：（姫を連れ出すには）今日は本当に都合が悪くございましょう。
【さうざうし】 - 例文「この酒をひとり食べんがさうざうしければ、申しつるなり。」の口語訳を答えなさい。,訳語：物足りない。心寂しい。 例文の訳：この酒を一人で飲むようなのが物足りないので、お呼びしたのです。
【むつかし】 - 例文「女君は、暑くむつかしとて、御髪すまして、少しさはやかにもてなし給へり。」の口語訳を答えなさい。,訳語：うっとうしい。不快だ。 例文の訳：女君（＝紫の上）は、暑くうっとうしいといって、御髪を洗って、少しさわやかにふるまっておられる。
【むつかし】 - 例文「用ありて行きたりとも、そのこと果てなば、とく帰るべし。久しくゐたる、いとむつかし。」の口語訳を答えなさい。,訳語：わずらわしい。面倒だ。 例文の訳：用事があって（人の所へ）行ったとしても、その用事が終わったならば、すぐに帰るのがよい。長居をしているのは、（相手にとって）とてもわずらわしい。
【貴なり】あてなり - 例文「一人はいやしき男の貧しき、一人はあてなる男もたりけり。」の口語訳を答えなさい。,訳語：身分が高い。高貴だ。 例文の訳：（姉妹のうちの）一人は身分の低い男で貧しい男を、もう一人は身分の高い男を夫としていた。
【清らなり】きよらなり - 例文「世になく清らなる玉の男皇子さへ生まれ給ひぬ。」の口語訳を答えなさい。,訳語：美しい。華麗だ。 例文の訳：世にまたとなく美しい玉のような皇子までがお生まれになった。
【更なり】さらなり - 例文「夏は夜。月のころはさらなり。」の口語訳を答えなさい。,訳語：（いまさら）言うまでもない。もちろんだ。 例文の訳：夏は夜（が趣深い）。月の出ているころは言うまでもない。
【顕はなり】あらはなり - 例文「こなたはあらはにや侍らむ。今日しも端におはしましけるかな。」の口語訳を答えなさい。,訳語：まる見えだ。 例文の訳：こちらはまる見えではございませんか。今日に限って端近なところにいらっしゃいましたね。
【あからさまなり】 - 例文「をかしげなる児の、あからさまに抱きて遊ばしうつくしむほどに、かい付きて寝たる、いとらうたし。」の口語訳を答えなさい。,訳語：ちょっとの間だ。ちょっと。 例文の訳：かわいらしい幼児が、ちょっとの間抱いて遊ばせかわいがっているうちに、抱きついて寝てしまったのは、とてもかわいい。
【頑ななり】かたくななり - 例文「ことにかたくななる人ぞ、「この枝、かの枝、散りにけり。今は見所なし」などは言ふめる。」の口語訳を答えなさい。,訳語：情趣を解さない。教養がない。 例文の訳：特に情趣を解さない人に限って、「この枝もあの枝も（花が）散ってしまった。もはや見る価値のあるところもない」などと言うようだ。
【徒なり】あだなり - 例文「露をなどあだなる物と思ひけむ」の口語訳を答えなさい。,訳語：はかない。むなしい。 例文の訳：露をどうしてはかないものと思っていたのだろう。
【徒なり】あだなり - 例文「いとまめに実用にて、あだなる心なかりけり。」の口語訳を答えなさい。,訳語：不誠実だ。浮気だ。 例文の訳：大変まじめで実直で、不誠実な心はなかった。
【漫ろなり】すずろなり - 例文「昔、男、陸奥の国にすずろに行きいたりにけり。」の口語訳を答えなさい。,訳語：あてもない。わけもない。 例文の訳：昔、ある男が、奥州へあてもなく行き着いた。
【漫ろなり】すずろなり - 例文「つた、かへでは茂り、もの心細く、すずろなるめを見ることと思ふに、修行者あひたり。」の口語訳を答えなさい。,訳語：思いがけない。無関係だ。つまらない。 例文の訳：つたやかえでは茂り、何となく心細く、思いがけない（つらい）めに遭うことだと思っていると、修行者が（男に）出会った。
【無下なり】むげなり - 例文「いかに殿ばら、殊勝のことは御覧じとがめずや。むげなり。」の口語訳を答えなさい。,訳語：まったくひどい。最低だ。 例文の訳：なんと皆さん、（この）すばらしいことをお見とがめにならないのですか。（それでは）まったくひどい。
【領る】しる - 例文「昔、男、初冠して、平城の京、春日の里に、しるよしして、狩りに往にけり。」の口語訳を答えなさい。,訳語：（土地を）領有する。（国を）治める。 例文の訳：昔、ある男が、元服して、奈良の都の、春日の里に、土地を領有する縁で、鷹狩りに行った。
【あくがる】 - 例文「ある暮れ方に都を出でて、嵯峨の方へぞあくがれ行く。」の口語訳を答えなさい。,訳語：さまよい出る。 例文の訳：（横笛は）ある夕暮れに都を出て、嵯峨の方へさまよい出て行く。
【あくがる】 - 例文「もの思ふ人の魂はげにあくがるるものになむありける。」の口語訳を答えなさい。,訳語：（魂が）宙にさまよう。 例文の訳：もの思いに沈む人の魂は本当に宙にさまようものであったのだ。
【休らふ】やすらふ - 例文「そのころ、宋朝よりすぐれたる名医わたつて、本朝にやすらふことあり。」の口語訳を答えなさい。,訳語：立ち止まる。とどまる。 例文の訳：そのころ、宋の国からすぐれた名医がやって来て、日本にとどまることがある。
【休らふ】やすらふ - 例文「院宣宣旨のなりたるに、しばしもやすらふべからず。」の口語訳を答えなさい。,訳語：ためらう。躊躇する。 例文の訳：上皇の命令が下されたのだから、ちょっとの間もためらうべきでない。
【うち出づ】うちいづ - 例文「何事をかうちいづる言の葉にせん。」の口語訳を答えなさい。,訳語：口に出して言う。 例文の訳：（交際もせず仲人の仲介によって結婚した男女は）どんなことを口に出して言う言葉にするのだろうか。
【やつす】 - 例文「御様をやつし、いやしき下﨟のまねをして、日吉社に御参籠あつて、七日七夜が間、祈り申させ給ひけり。」の口語訳を答えなさい。,訳語：地味な格好にする。目立たない様子をする。 例文の訳：（関白殿の奥様は）ご様子を地味な格好にし、身分の低い者のふりをして、日吉社に参籠なさって、七日七夜の間、お祈り申し上げなさった。
【音なふ】おとなふ - 例文「遣水心細く、音細くおとなひたり。」の口語訳を答えなさい。,訳語：音を立てる。声を立てる。 例文の訳：遣水が心細く流れ、水の音がか細く音を立てている。
【音なふ】おとなふ - 例文「むすめ多かりと聞きて、なま君達めく人々もおとなひ言ふ、いとあまたありけり。」の口語訳を答えなさい。,訳語：手紙を出す。訪れる。 例文の訳：（常陸の守には）娘が大勢いると聞いて、ちょっと貴族の子弟風の人々が手紙を出し言い寄ることが、とてもたくさんあった。
【側む】そばむ - 例文「やんごとなき女房の、うちそばみてゐ給へるを見給へば、わが思ふ人なり。」の口語訳を答えなさい。,訳語：横を向く。 例文の訳：高貴な女性が、ちょっと横を向いて座っていらっしゃるのを（中将は）ご覧になると、自分の恋い慕う人である。
【語らふ】かたらふ - 例文「その（＝弘徽殿の）御方に、うちふしといふ者の娘、左京といひて候ひけるを、源中将かたらひてなむと、人々笑ふ。」の口語訳を答えなさい。,訳語：交際する。親しくする。 例文の訳：弘徽殿のお所で、うちふしという者の娘で、左京と言ってお仕えしていた女と、源中将が交際して（いる）と、人々は笑う。
【住む】すむ - 例文「すみける男、夜深く来ては、まだ暁に帰りなどす。」の口語訳を答えなさい。,訳語：（男が女のもとに）通う。 例文の訳：通っていた男は、（女のもとに）夜遅く来ては、まだ夜明け前に帰りなどする。
【障る】さはる - 例文「十一月、十二月の降り凍り、六月の照りはたたくにも、さはらず来たり。」の口語訳を答えなさい。,訳語：妨げられる。差し支える。 例文の訳：（男たちは）陰暦十一月、十二月の雪が降ったり氷が張ったり、六月の日が照ったり雷が鳴ったりするときにも、妨げられず（かぐや姫の家に）やって来た。
【饗す】あるじす - 例文「すさまじきもの。…方違へに行きたるに、あるじせぬ所。」の口語訳を答えなさい。,訳語：客にごちそうする。客をもてなす。 例文の訳：興ざめなもの。…方違えで（泊まりに）行ったのに、客にごちそうしない所。
【もてなす】 - 例文「侮らはしげにもてなす（連中）は、めざましうて、なげのいらへをだにせさせ給はず。」の口語訳を答えなさい。,訳語：振る舞う。 例文の訳：見くだすように振る舞う連中は、気に入らなくて、（八の宮は姫君達に）かりそめの返事さえも書かせなさらない。
【もてなす】 - 例文「なほきこえ給へ。わざと懸想だちてももてなさじ。」の口語訳を答えなさい。,訳語：取り扱う。取り計らう。 例文の訳：やはり（返事の手紙を）差し上げて下さい。特別に恋文らしくも取り扱うまい。
【興ず】きようず - 例文「よき人は、ひとへに好けるさまにも見えず、興ずるさまもなほざりなり。」の口語訳を答えなさい。,訳語：おもしろがる。 例文の訳：身分が高く教養のある人は、ひたすら情趣を好むようにも見えず、おもしろがる様子もほどほどである。
【およすぐ】 - 例文「あこぎ、おとなになりね。いと心およすげためり。」の口語訳を答えなさい。,訳語：成長する。大人になる。 例文の訳：あこぎ、ぜひ一人前の女房になっておくれ。たいそう心が成長したようだ。
【およすぐ】 - 例文「『何とまれ、言へかし』とのたまふを、人々もおよすげて見奉る。」の口語訳を答えなさい。,訳語：大人びる。ませる。 例文の訳：（幼い天皇が）「何でもいいから、和歌を詠んでおくれよ」とおっしゃるのを、人々も大人びているとお見受けする。
